Data,AQI
2010/1/1,90
2010/1/2,103
2010/1/3,105
2010/1/4,114
2010/1/5,89
2010/1/6,61
2010/1/7,51
2010/1/8,77
2010/1/9,80
2010/1/10,95
2010/1/11,56
2010/1/12,42
2010/1/13,70
2010/1/14,91
2010/1/15,101
2010/1/16,88
2010/1/17,78
2010/1/18,69
2010/1/19,70
2010/1/20,134
2010/1/21,103
2010/1/22,38
2010/1/23,55
2010/1/24,61
2010/1/25,85
2010/1/26,76
2010/1/27,68
2010/1/28,72
2010/1/29,104
2010/1/30,104
2010/1/31,115
2010/2/1,87
2010/2/2,62
2010/2/3,50
2010/2/4,26
2010/2/5,39
2010/2/6,41
2010/2/7,41
2010/2/8,63
2010/2/9,63
2010/2/10,55
2010/2/11,55
2010/2/12,22
2010/2/13,39
2010/2/14,62
2010/2/15,22
2010/2/16,24
2010/2/17,41
2010/2/18,44
2010/2/19,70
2010/2/20,63
2010/2/21,65
2010/2/22,65
2010/2/23,68
2010/2/24,66
2010/2/25,59
2010/2/26,68
2010/2/27,60
2010/2/28,75
2010/3/1,112
2010/3/2,55
2010/3/3,46
2010/3/4,68
2010/3/5,59
2010/3/6,56
2010/3/7,28
2010/3/8,38
2010/3/9,30
2010/3/10,39
2010/3/11,62
2010/3/12,75
2010/3/13,85
2010/3/14,128
2010/3/16,58
2010/3/17,87
2010/3/18,95
2010/3/19,96
2010/3/20,101
2010/3/21,239
2010/3/22,500
2010/3/23,364
2010/3/24,97
2010/3/25,30
2010/3/26,72
2010/3/27,56
2010/3/28,67
2010/3/29,59
2010/3/30,57
2010/3/31,64
2010/4/1,104
2010/4/2,58
2010/4/3,65
2010/4/4,54
2010/4/5,86
2010/4/6,92
2010/4/7,64
2010/4/8,52
2010/4/9,51
2010/4/10,57
2010/4/11,86
2010/4/12,87
2010/4/13,72
2010/4/14,49
2010/4/15,25
2010/4/16,33
2010/4/17,61
2010/4/18,58
2010/4/19,86
2010/4/20,111
2010/4/21,119
2010/4/22,84
2010/4/23,42
2010/4/24,76
2010/4/25,58
2010/4/26,66
2010/4/27,81
2010/4/28,97
2010/4/29,96
2010/4/30,104
2010/5/1,91
2010/5/2,77
2010/5/3,80
2010/5/4,72
2010/5/5,65
2010/5/6,83
2010/5/7,82
2010/5/8,71
2010/5/9,52
2010/5/10,81
2010/5/11,74
2010/5/12,95
2010/5/13,75
2010/5/14,42
2010/5/15,47
2010/5/16,48
2010/5/17,66
2010/5/18,76
2010/5/19,69
2010/5/20,79
2010/5/22,72
2010/5/23,65
2010/5/24,63
2010/5/25,68
2010/5/26,98
2010/5/27,70
2010/5/28,64
2010/5/29,58
2010/5/30,62
2010/5/31,74
2010/6/1,64
2010/6/2,51
2010/6/3,57
2010/6/4,61
2010/6/5,27
2010/6/6,44
2010/6/7,60
2010/6/8,55
2010/6/9,51
2010/6/10,59
2010/6/11,65
2010/6/12,77
2010/6/13,68
2010/6/14,77
2010/6/15,72
2010/6/16,73
2010/6/17,61
2010/6/18,56
2010/6/19,64
2010/6/20,65
2010/6/21,71
2010/6/22,67
2010/6/23,66
2010/6/24,82
2010/6/25,70
2010/6/26,55
2010/6/27,46
2010/6/28,68
2010/6/29,63
2010/6/30,90
2010/7/1,75
2010/7/2,74
2010/7/3,71
2010/7/4,73
2010/7/5,74
2010/7/6,61
2010/7/7,67
2010/7/8,54
2010/7/9,61
2010/7/10,77
2010/7/11,71
2010/7/12,71
2010/7/13,62
2010/7/14,51
2010/7/15,62
2010/7/16,77
2010/7/17,45
2010/7/18,49
2010/7/19,48
2010/7/20,53
2010/7/21,59
2010/7/22,28
2010/7/23,39
2010/7/24,21
2010/7/25,14
2010/7/26,15
2010/7/27,37
2010/7/28,56
2010/7/29,58
2010/7/30,58
2010/7/31,71
2010/8/1,78
2010/8/2,68
2010/8/3,73
2010/8/4,70
2010/8/5,58
2010/8/6,37
2010/8/7,30
2010/8/8,42
2010/8/9,43
2010/8/10,53
2010/8/11,65
2010/8/12,85
2010/8/13,62
2010/8/13,62
2010/8/14,72
2010/8/15,63
2010/8/16,65
2010/8/17,52
2010/8/18,52
2010/8/19,38
2010/8/20,49
2010/8/21,39
2010/8/22,50
2010/8/23,41
2010/8/24,36
2010/8/25,43
2010/8/26,39
2010/8/27,38
2010/8/28,46
2010/8/29,48
2010/8/30,55
2010/8/31,51
2010/9/1,29
2010/9/2,30
2010/9/3,30
2010/9/4,35
2010/9/5,44
2010/9/6,56
2010/9/7,60
2010/9/8,56
2010/9/9,31
2010/9/10,28
2010/9/11,45
2010/9/12,46
2010/9/13,52
2010/9/14,48
2010/9/15,57
2010/9/16,53
2010/9/17,52
2010/9/18,48
2010/9/19,50
2010/9/20,45
2010/9/21,56
2010/9/22,53
2010/9/23,29
2010/9/24,25
2010/9/25,50
2010/9/26,56
2010/9/27,53
2010/9/28,69
2010/9/29,51
2010/9/30,43
2010/10/1,40
2010/10/2,55
2010/10/3,66
2010/10/4,64
2010/10/5,64
2010/10/6,70
2010/10/7,74
2010/10/8,67
2010/10/9,61
2010/10/10,69
2010/10/11,77
2010/10/12,97
2010/10/13,94
2010/10/14,55
2010/10/15,30
2010/10/16,64
2010/10/17,87
2010/10/18,69
2010/10/19,68
2010/10/20,62
2010/10/21,51
2010/10/22,58
2010/10/23,45
2010/10/24,36
2010/10/25,47
2010/10/26,30
2010/10/27,30
2010/10/28,42
2010/10/29,64
2010/10/30,66
2010/10/31,64
2010/11/1,88
2010/11/2,92
2010/11/3,98
2010/11/4,69
2010/11/5,61
2010/11/6,75
2010/11/7,65
2010/11/8,77
2010/11/9,93
2010/11/10,77
2010/11/11,94
2010/11/12,85
2010/11/13,90
2010/11/14,98
2010/11/15,70
2010/11/16,36
2010/11/17,48
2010/11/18,40
2010/11/19,59
2010/11/20,60
2010/11/21,85
2010/11/22,78
2010/11/23,91
2010/11/24,77
2010/11/25,68
2010/11/26,89
2010/11/27,79
2010/11/28,86
2010/11/29,78
2010/11/30,46
2010/12/1,48
2010/12/2,79
2010/12/3,63
2010/12/4,102
2010/12/5,76
2010/12/6,84
2010/12/7,60
2010/12/8,59
2010/12/9,73
2010/12/10,101
2010/12/11,110
2010/12/12,81
2010/12/13,56
2010/12/14,51
2010/12/15,22
2010/12/16,27
2010/12/17,58
2010/12/18,67
2010/12/19,97
2010/12/20,96
2010/12/21,107
2010/12/22,95
2010/12/23,115
2010/12/24,107
2010/12/25,30
2010/12/26,35
2010/12/27,66
2010/12/28,87
2010/12/29,82
2010/12/30,118
2010/12/31,84
2011/1/1,68
2011/1/2,52
2011/1/3,58
2011/1/4,52
2011/1/5,81
2011/1/6,83
2011/1/7,79
2011/1/8,64
2011/1/9,76
2011/1/10,80
2011/1/11,77
2011/1/12,93
2011/1/13,99
2011/1/14,120
2011/1/15,57
2011/1/16,67
2011/1/17,65
2011/1/18,59
2011/1/19,60
2011/1/20,35
2011/1/21,30
2011/1/22,60
2011/1/23,80
2011/1/24,71
2011/1/25,105
2011/1/26,74
2011/1/27,49
2011/1/28,43
2011/1/29,32
2011/1/30,58
2011/1/31,89
2011/2/1,72
2011/2/2,56
2011/2/3,135
2011/2/4,83
2011/2/5,82
2011/2/6,87
2011/2/7,80
2011/2/8,98
2011/2/9,102
2011/2/10,79
2011/2/11,50
2011/2/12,53
2011/2/13,62
2011/2/14,51
2011/2/15,64
2011/2/16,54
2011/2/17,51
2011/2/18,58
2011/2/19,66
2011/2/20,88
2011/2/21,86
2011/2/22,95
2011/2/23,78
2011/2/24,107
2011/2/25,104
2011/2/26,88
2011/2/27,97
2011/2/28,86
2011/3/1,75
2011/3/2,55
2011/3/3,81
2011/3/4,84
2011/3/5,98
2011/3/6,89
2011/3/7,68
2011/3/8,88
2011/3/9,86
2011/3/10,99
2011/3/11,71
2011/3/12,88
2011/3/13,95
2011/3/14,107
2011/3/15,83
2011/3/16,66
2011/3/17,87
2011/3/18,83
2011/3/19,83
2011/3/20,112
2011/3/21,82
2011/3/22,44
2011/3/23,58
2011/3/24,77
2011/3/25,101
2011/3/26,62
2011/3/27,61
2011/3/28,87
2011/3/29,80
2011/3/30,82
2011/3/31,74
2011/4/1,78
2011/4/2,84
2011/4/3,76
2011/4/4,43
2011/4/5,63
2011/4/6,65
2011/4/7,85
2011/4/8,79
2011/4/9,99
2011/4/10,157
2011/4/11,152
2011/4/12,87
2011/4/13,66
2011/4/14,105
2011/4/15,128
2011/4/16,107
2011/4/17,85
2011/4/18,108
2011/4/19,91
2011/4/20,84
2011/4/21,68
2011/4/22,86
2011/4/23,92
2011/4/24,99
2011/4/25,88
2011/4/26,93
2011/4/27,126
2011/4/28,88
2011/4/29,78
2011/4/30,94
2011/5/1,69
2011/5/2,116
2011/5/3,67
2011/5/4,77
2011/5/5,77
2011/5/6,84
2011/5/7,119
2011/5/8,110
2011/5/9,90
2011/5/10,58
2011/5/11,73
2011/5/12,86
2011/5/13,79
2011/5/14,109
2011/5/15,101
2011/5/16,96
2011/5/17,98
2011/5/18,89
2011/5/19,68
2011/5/20,66
2011/5/21,76
2011/5/22,75
2011/5/23,81
2011/5/24,43
2011/5/25,53
2011/5/26,83
2011/5/27,103
2011/5/28,82
2011/5/29,59
2011/5/30,77
2011/5/31,77
2011/6/1,79
2011/6/2,107
2011/6/3,77
2011/6/4,94
2011/6/5,123
2011/6/6,136
2011/6/7,104
2011/6/8,79
2011/6/9,104
2011/6/10,84
2011/6/11,75
2011/6/12,64
2011/6/13,73
2011/6/14,55
2011/6/15,102
2011/6/16,83
2011/6/17,79
2011/6/18,86
2011/6/19,75
2011/6/20,63
2011/6/21,73
2011/6/22,63
2011/6/23,39
2011/6/24,51
2011/6/25,39
2011/6/26,39
2011/6/27,54
2011/6/28,54
2011/6/29,43
2011/6/30,57
2011/7/1,63
2011/7/2,67
2011/7/3,82
2011/7/4,80
2011/7/5,84
2011/7/6,78
2011/7/7,73
2011/7/8,74
2011/7/9,77
2011/7/10,43
2011/7/11,36
2011/7/12,38
2011/7/13,37
2011/7/14,47
2011/7/15,43
2011/7/16,39
2011/7/17,44
2011/7/18,44
2011/7/19,40
2011/7/20,43
2011/7/21,60
2011/7/22,60
2011/7/23,72
2011/7/24,57
2011/7/25,49
2011/7/26,72
2011/7/27,52
2011/7/28,45
2011/7/29,42
2011/7/30,47
2011/7/31,61
2011/8/1,63
2011/8/2,54
2011/8/3,50
2011/8/4,52
2011/8/5,52
2011/8/6,39
2011/8/7,40
2011/8/8,59
2011/8/9,67
2011/8/10,45
2011/8/11,46
2011/8/12,57
2011/8/13,55
2011/8/14,57
2011/8/15,72
2011/8/16,72
2011/8/17,71
2011/8/18,65
2011/8/19,58
2011/8/20,64
2011/8/21,65
2011/8/22,56
2011/8/23,63
2011/8/24,59
2011/8/25,51
2011/8/26,50
2011/8/27,55
2011/8/28,34
2011/8/29,40
2011/8/30,31
2011/8/31,35
2011/9/1,42
2011/9/2,63
2011/9/3,73
2011/9/4,82
2011/9/5,89
2011/9/6,78
2011/9/7,76
2011/9/8,85
2011/9/9,76
2011/9/10,79
2011/9/11,66
2011/9/12,53
2011/9/13,43
2011/9/14,52
2011/9/15,46
2011/9/16,56
2011/9/17,62
2011/9/18,71
2011/9/19,54
2011/9/20,56
2011/9/21,53
2011/9/22,62
2011/9/23,66
2011/9/24,63
2011/9/25,58
2011/9/26,47
2011/9/27,57
2011/9/28,51
2011/9/29,46
2011/9/30,40
2011/10/1,34
2011/10/2,50
2011/10/3,42
2011/10/4,32
2011/10/5,45
2011/10/6,61
2011/10/7,85
2011/10/8,87
2011/10/9,77
2011/10/10,70
2011/10/11,63
2011/10/12,62
2011/10/13,88
